artist_name,spotify_id,genres,popularity,followers
Dinker kalvala,7HwltF8ExwWx43i230aJXM,telugu indie;tollywood,46,18243
Bhaskarabhatla Ravi Kumar,1BuW9BEbBIhDu6F13TVxpu,,57,37225
Anthony Daasan,1lDx24tVvy8JVKOVjnlJfv,filmi;tamil pop,58,187248
Gana Balachandar,1GH0DojDQJeEKQ4BDMShAL,,50,22347
Alisha Thomas,2JlwKfQpBmPFip5JT4d7VG,tamil pop,48,66482
Ajesh,7zneCNzf0wfXcjCOvirRlX,kollywood;tamil pop,57,136689
Varadaraj Chikkaballapura,26UIfqGxK7O4AV0cDkN5uo,,44,2837
Nakash Aziz,4kq8z3vydHjPDggxb16ErB,tollywood,70,302115
Kamal Haasan,5asJ8jtjk36r5PW5upyJm6,classic kollywood;filmi,59,2279469
J.V. Sudhanshu,1c8TcsYzbZiEJ0TcEP3NWq,,29,3368
Chandra Bose,3gZ3IpjebAehFzIYhFIJDK,,69,189128
S. P. Balasubrahmanyam,2ae6PxICSOZHvjqiCcgon8,filmi,80,16385063
Shruti Haasan,06vOoTzj6cIac9FMbNXz9h,tamil pop,61,344254
Yo Yo Honey Singh,7uIbLdzzSEqnX0Pkrb56cR,filmi;hindi hip hop;modern bollywood,80,22584749
Hiphop Tamizha,7zFBW2JxM4bgTTKxCRcS8Q,desi hip hop;tamil hip hop;tamil pop,71,10671742
Yogi B,614RN5ndeqpLlqg1yDbjtm,malaysian hip hop;tamil pop,51,156739
MALIII,6l1lQ5WaTFT05RImOssYKg,tamil pop,46,7622
Raqueeb Alam,5DJ9Jdt2tfopA7eKuHCO4h,,59,74931
Hanuman,4nVa6XlBFlIkF6msW57PHp,desi hip hop;indian underground rap;malayalam hip hop,72,549810
Lokeshwar Edara,7ag0al5P3y3IzzEh0G7YL8,,43,3952
Niranjana Ramanan,3GB9ulskXfPOQCzw0SNEDx,,43,12573
Sahithi Chaganti,01dP5AXWzqsUZj4VIcUSDM,tollywood,59,66740
Anantha Krishnan,7iWdGmQIHzatjrls1tI1MS,,24,15
Srinivasa Mouli,2y2DSOmE3xKWW4Wia2ucCi,,45,7808
Sanjeeta Bhattacharya,4Kz7utJFZMqzO9lS4mfgvc,indian indie;indian singer-songwriter;new delhi indie,26,15713
Navinesh Kumar,7pigmWWYuBmOslYq8I3cJ9,,22,504
Heart Killer Beats,0Ru7oRvjCo0bmDkTZekB1b,,30,2954
Abhishek Martyn,7vaRQwa9yvSiMDW6a3izja,,30,1050
DJ Harshit Shah,2tj8mpAYuA0p3XjIUhviMG,,47,15478
DJ MHD IND,2YpNsPpoWV4shQrSGbJtrd,,45,5545
Saithis,2qInyJAMIv4a2cRZ6OWx5L,,23,651
Aravind Polo,5ax29Q7mKFQEMrxcEC5AKT,,12,258
Stan,5UHeeAHp48bScX1RfoUt8m,musical advocacy,29,3473
Sam,4MoCPQEZqegox8Ng6SUGrb,,27,599
Aelo,6V394G6torkxVfqL39qEgK,,12,535
Yuvabharathi,169HfY4b1iJnXtvBn95ujW,,40,227
Raahi,5Bo5WRNdz8ZOSVA6nJs5M9,indie r&b,47,50309
Kamal Eleven,5TJKNzZY6Q9nTP5k4PuIpI,,26,11299
Arjun Vijay,148MlefZjMglgC4ni3EBpB,,27,3395
Mahalingam,6mHtkNCvRoFV9XMzvjSF1u,tamil pop,48,25519
Pushavanam Kuppusamy,4goOAiPO9Bo4MDH84iHKU1,,0,3
Sivakarthikeyan,0jwbpxdhhQamNo79fFPVcr,kollywood;tamil pop,47,302132
Deepak Ram,0IRHoIb1ZFEVrwdm0SzPh5,bansuri;south african jazz;world fusion,28,4367
S. Janaki,5Xpg6PBSUOoho2lI9qLjiu,classic kollywood;filmi,73,4759303
M.M.Manasi,3JGrxsZ6kfzJrfwsxwERhS,tollywood,57,110476
Anitha Karthikeyan,0vWyMSeg4ixQ98Srb8E4y5,tamil pop,55,106512
DJ Thirumal,2wiWU91jXPfgTQLs4SJ4GP,,8,79
Vivek (Lyricist),5XiZJpulOTEluJ9EAXrdbU,,0,11
Ravi G,7F0SYkO9wyNY0aJFD2C1bD,tamil pop,49,18313
Shashaa Tirupati,12CpR4SNDzVIlDoPSeNFeW,filmi;modern bollywood,67,351242
Prudhvi Chandra,4xUI2yJe8cZHYGhS8rk1oR,tollywood,51,250464
Ramya Behara,4svvMm4TQnkphZJfhLCzzv,tollywood,63,1375830
Rahul Sipligunj,1H4ZvA2yyK7wCmbvEUWvPn,tollywood,59,1572483
Arun Kaundinya,1ZKWEgONUTL99f0niqmUA4,tollywood,50,29257
Sunidhi Chauhan,3eDT9fwXKuHWFvgZaaYC5v,filmi;modern bollywood,77,16970728
Sanjana Kalmanje,4zQpCebYLmlfG8Cw43xdtZ,,45,23874
Rokesh,00LxYZ7wjuOneFyYMFB8n0,,53,2861
Saketh Komanduri,3MoBedNBt9D9IRmhRJxV3L,tollywood,45,218301
Manju Sri,7CwbRx8aya23BLsamsl8gA,,26,4
Siddharth Mahadevan,7hwEGO7U6JwQ7M1teoO8GW,modern bollywood,60,47549
Heizenberg,3mLXYY3TowIM2xTX1OY9dZ,,19,236
Jubin Nautiyal,1tqysapcCh1lWEAc9dIFpa,filmi;hare krishna;modern bollywood,76,19414578
Raftaar,5UdFr0GeO7jKIaNIJgwB36,desi hip hop;desi pop;desi trap;hindi hip hop,66,2085762
Gaana Balachandar,51bme8Zrm5l1tUJscxLPPT,,33,186
Bjorn Surrao,6WaQm4n7YfvvH7r94yMAeu,,39,3506
Mayukh Velagapudi,5oa1Qaay6FkJzDNlgwQxde,,27,770
Sam Vishal,0uaYtkIY2nv1tWsigjcLnd,tamil pop,36,65511
Justin Prabhakaran,3ocTwOjekTkFdD695eKuQr,tamil pop,56,359779
Srinivasa Moorthy,2bW8acgEpizoM2ZK0Jvenm,,24,48
Inno Genga,29cBzYwqCZF4fjCisS8UvU,tamil pop,51,31107
Vivek Siva,7B0eBcEyMXoyqBrVyj7gFD,tamil pop,43,21425
Yashwanth Nag,3bKJ5PWY9uLhNGhTKiBrlG,,28,17337
Rajashri Sudhakar,2f1XweEUGeCwG1s7ox9cwk,,22,24
Nakul Abhyankar,45dUPHFa2AoC4lqFTcPmiD,tamil hip hop;tollywood,59,204235
Mohit Chauhan,5GnnSrwNCGyfAU4zuIytiS,filmi;modern bollywood,77,10929763
Akshay The One,5IRSf4S62R0kCxuSyycXJd,hindi hip hop,22,1541
Raathee,6hAV1GWoSJRkaRz8MGifQK,kannada hip hop,12,5566
Yuvan Shankar Raja,6AiX12wXdXFoGJ2vk8zBjy,filmi;kollywood,77,15064653
CB Vinith,3QMqIHUobL8Ki8SxTuTErM,,36,393
D. Imman,1QcBqYUeQ4Ux3itkdDaFi0,tamil pop,65,6740328
Ravi Shankar,4uE9TgBW0AaPDHL1qYbtd0,hindustani classical;indian classical;sitar,45,602844
Bashermax,11FBZoyhsRx6NeGzZA5DYb,,32,55
Ghibran,3jw2v5ZbSWBinNaECXq8cJ,filmi;tamil pop,61,826150
Teejay,30hElzuHCZ1qzCl364SHma,dancehall;jamaican dancehall;jamaican hip hop;traphall;trinibad,53,252137
Mervin Solomon,5UMXQPeU8ojXiH8f7IfpXv,tamil pop,52,29235
Kalpana,1daPDpFyCqVsokg3cZmmjT,bhojpuri pop,60,192367
Richard,0grdhNhiRLFBaFVyybqsj6,new wave pop;soft rock,68,1397171
Radha Ravi,2RPnzHQLjVHxT3pK9Lhts1,,36,15489
Pradeep Kumar,15ClyGUe5g2vllncIC4tp6,tamil pop,70,1725111
Paravai Muniyamma,1TiO8nr22Wnh27gPqY1GSk,classic kollywood,34,3681
Mano,1S5WLkcajugOGAx0DfVyIf,,21,699
Jassie Gift,3cowxATurZfjWsJC4uEHsl,filmi,61,556530
Hemachandra Vedala,26R3WRFIf6FbbNAQuMIjkN,filmi;tollywood,60,1090583
Srinidhi Venkatesh,1PDFenKwhb7oNx0bxCyQF2,tamil pop,50,26180
Shreya Ghoshal,0oOet2f43PA68X5RxKobEy,filmi;modern bollywood,85,27570826
